run_id,mode,prompt_id,repetition,conversation_id,duration_seconds,timed_out,task_completed,strict_full_execution,final_output_usable,final_response_visible,final_response_is_error,final_response_chars,business_send_message_calls,model_send_message_tool_calls,blocked_send_message_calls,a2a_trace_records,all_host_tool_calls,used_agent_count,used_agents,required_group_coverage,required_group_coverage_ratio,exclusive_branch_violations,exact_protocol_sequence,repeated_agent_task,redundant_business_calls,failed_remote_tasks,tool_call_leak_in_final,finalize_protocol_calls,validation_log_markers,output_transport_complete,output_hotel_complete,output_ticket_complete,output_weather_adapted,output_daily_routes_complete,output_budget_complete,output_completeness_score_0_6,c1_weather_itinerary_evidence,c2_weather_transport_evidence,c3_guide_ticket_evidence,c4_itinerary_budget_hotel_evidence,c5_daily_route_evidence,c6_expense_per_capita_evidence,automatic_task_point_evidence_0_6,process_score_0_10,message_count,event_count,task_count
validation_on-travel-simplified-r01,validation_on,travel-simplified,1,32d30db5-c6f6-44ec-8863-760e47567d91,515.673,False,False,False,False,True,True,67,7,8,1,28,10,7,Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,7/8,0.875,0,False,False,0,0,False,0,5,False,False,False,False,False,False,0,False,True,True,True,False,False,3,4.62,2,20,0
validation_on-travel-simplified-r02,validation_on,travel-simplified,2,2d4220dc-5fde-4414-b21f-d1e5e4efa960,590.801,False,True,True,True,True,False,4352,8,10,2,18,12,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,6,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r03,validation_on,travel-simplified,3,528fbfd2-da54-4e9a-8ee2-abd012b59017,509.94,False,True,True,True,True,False,4165,8,9,1,16,13,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,24,0
validation_on-travel-simplified-r04,validation_on,travel-simplified,4,16b0c725-a266-442c-a589-5085b3e2e356,696.002,False,True,True,True,True,False,4869,8,9,1,16,13,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,3,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,28,0
validation_on-travel-simplified-r05,validation_on,travel-simplified,5,6ff5d382-b2fa-4fe7-a5c6-ea6d32d1fb58,847.768,False,True,True,True,True,False,4628,8,9,1,16,12,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,2,False,True,True,True,True,True,5,True,True,True,True,True,True,6,10.0,2,26,0
validation_on-travel-simplified-r06,validation_on,travel-simplified,6,0cb8953a-2f63-43fd-a4bf-98b497bdb811,581.517,False,True,True,True,True,False,4271,8,9,1,16,11,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,1,True,True,True,True,True,True,6,True,True,True,True,True,True,6,10.0,2,24,0
validation_on-travel-simplified-r07,validation_on,travel-simplified,7,77c8ed3f-884f-4644-825f-86b88b798970,540.881,False,False,False,False,True,True,67,7,9,2,14,10,7,Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,7/8,0.875,0,False,False,0,0,False,0,5,False,False,False,False,False,False,0,False,True,True,True,False,False,3,4.62,2,22,0
validation_on-travel-simplified-r08,validation_on,travel-simplified,8,84b5b477-ece6-45a2-8ffc-43e0f1f7a59f,564.922,False,True,False,True,True,False,3882,2,3,1,4,8,2,Guide Agent|Weather Agent,2/8,0.25,0,False,False,0,0,False,1,5,False,True,False,True,True,False,3,True,False,False,False,False,False,1,4.75,2,17,0
validation_on-travel-simplified-r09,validation_on,travel-simplified,9,2973c3cb-3ee1-4aef-9302-450ce01cf362,358.114,False,True,False,True,True,False,5307,4,12,8,10,14,4,Guide Agent|Train Agent|Transport Select Agent|Weather Agent,4/8,0.5,0,False,False,0,0,False,0,10,True,True,True,True,True,False,5,True,True,False,False,False,False,2,5.5,2,13,0
validation_on-travel-simplified-r10,validation_on,travel-simplified,10,dcb1c95a-7447-495c-9ed9-244775737bcd,796.951,False,True,True,True,True,False,5949,8,9,1,16,12,8,Budget Agent|Guide Agent|Hotel Agent|Public Transport Agent|Ticket Agent|Train Agent|Transport Select Agent|Weather Agent,8/8,1.0,0,True,False,0,0,False,1,1,False,True,True,True,True,True,5,True,True,True,True,True,True,6,10.0,2,26,0
